n,r,p
"(:EmployeePrivateData {private_email: william@mail.com,cpr: 0123456789,id: 11,private_phone: 01854567})",[:HAS],"(:EmployeePrivateData {private_email: william@mail.com,cpr: 0123456789,id: 11,private_phone: 01854567})"
"(:EmployeePrivateData {private_email: clara@mail.com,cpr: 1123456790,id: 12,private_phone: 11234567})",[:HAS],"(:EmployeePrivateData {private_email: clara@mail.com,cpr: 1123456790,id: 12,private_phone: 11234567})"
"(:EmployeePrivateData {private_email: adminn@mail.com,cpr: 1704867890,id: 13,private_phone: 12345678})",[:HAS],"(:EmployeePrivateData {private_email: adminn@mail.com,cpr: 1704867890,id: 13,private_phone: 12345678})"
"(:EmployeePrivateData {private_email: oliver@mail.com,cpr: 1234500011,id: 14,private_phone: 70010001})",[:HAS],"(:EmployeePrivateData {private_email: oliver@mail.com,cpr: 1234500011,id: 14,private_phone: 70010001})"
"(:EmployeePrivateData {private_email: laura@mail.com,cpr: 1234500022,id: 15,private_phone: 70020002})",[:HAS],"(:EmployeePrivateData {private_email: laura@mail.com,cpr: 1234500022,id: 15,private_phone: 70020002})"
"(:EmployeePrivateData {private_email: tobias@mail.com,cpr: 1234500033,id: 16,private_phone: 70030003})",[:HAS],"(:EmployeePrivateData {private_email: tobias@mail.com,cpr: 1234500033,id: 16,private_phone: 70030003})"
"(:EmployeePrivateData {private_email: sara@mail.com,cpr: 1234500044,id: 17,private_phone: 70040004})",[:HAS],"(:EmployeePrivateData {private_email: sara@mail.com,cpr: 1234500044,id: 17,private_phone: 70040004})"
"(:EmployeePrivateData {private_email: victor@mail.com,cpr: 1234500055,id: 18,private_phone: 70050005})",[:HAS],"(:EmployeePrivateData {private_email: victor@mail.com,cpr: 1234500055,id: 18,private_phone: 70050005})"
"(:EmployeePrivateData {private_email: julie@mail.com,cpr: 1234500066,id: 19,private_phone: 70060006})",[:HAS],"(:EmployeePrivateData {private_email: julie@mail.com,cpr: 1234500066,id: 19,private_phone: 70060006})"
"(:EmployeePrivateData {private_email: anders@mail.com,cpr: 1234500077,id: 20,private_phone: 70070007})",[:HAS],"(:EmployeePrivateData {private_email: anders@mail.com,cpr: 1234500077,id: 20,private_phone: 70070007})"
"(:EmployeePrivateData {private_email: maja@mail.com,cpr: 1234500088,id: 21,private_phone: 70080008})",[:HAS],"(:EmployeePrivateData {private_email: maja@mail.com,cpr: 1234500088,id: 21,private_phone: 70080008})"
"(:EmployeePrivateData {private_email: sebastian@mail.com,cpr: 1234500099,private_phone: 70090009,id: 22})",[:HAS],"(:EmployeePrivateData {private_email: sebastian@mail.com,cpr: 1234500099,private_phone: 70090009,id: 22})"
"(:EmployeePrivateData {private_email: nanna@mail.com,cpr: 1234500100,id: 23,private_phone: 70100010})",[:HAS],"(:EmployeePrivateData {private_email: nanna@mail.com,cpr: 1234500100,id: 23,private_phone: 70100010})"
"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})",[:OCCUPIES],"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})"
"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})",[:OCCUPIES],"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})"
"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})",[:OCCUPIES],"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})"
"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})",[:OCCUPIES],"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})"
"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})",[:OCCUPIES],"(:Position {name: Software Engineer,description: Designs, develops, tests, and maintains software applications. Collaborates with cross-functional teams to identify and prioritize project requirements.,id: 1})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})",[:OCCUPIES],"(:Position {name: HR Specialist,description: Provides comprehensive human resource support including recruitment, employee relations, benefits administration, and compliance. Develops and implements HR programs to enhance employee engagement and retention.,id: 2})"
"(:Position {name: Research Analyst,description: Conducts market research and competitive analysis to inform business strategy. Collects, analyzes, and interprets complex data sets to identify trends and patterns.,id: 3})",[:OCCUPIES],"(:Position {name: Research Analyst,description: Conducts market research and competitive analysis to inform business strategy. Collects, analyzes, and interprets complex data sets to identify trends and patterns.,id: 3})"
"(:Position {name: Research Analyst,description: Conducts market research and competitive analysis to inform business strategy. Collects, analyzes, and interprets complex data sets to identify trends and patterns.,id: 3})",[:OCCUPIES],"(:Position {name: Research Analyst,description: Conducts market research and competitive analysis to inform business strategy. Collects, analyzes, and interprets complex data sets to identify trends and patterns.,id: 3})"
"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})",[:OCCUPIES],"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})"
"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})",[:OCCUPIES],"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})"
"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})",[:OCCUPIES],"(:Position {name: Project Manager,description: Leads cross-functional teams to deliver projects on time, within budget, and meeting specified requirements. Develops project plans, coordinates resources, and manages stakeholder expectations.,id: 4})"
"(:Position {name: Financial Analyst,description: Analyzes financial data and prepares forecasts to drive business decisions. Develops and maintains financial models, identifies trends, and optimizes business processes.,id: 5})",[:OCCUPIES],"(:Position {name: Financial Analyst,description: Analyzes financial data and prepares forecasts to drive business decisions. Develops and maintains financial models, identifies trends, and optimizes business processes.,id: 5})"
"(:Position {name: Department Manager,description: Directs and oversees department operations to achieve strategic objectives. Leads cross-functional teams and manages budgets to optimize resource utilization.,id: 6})",[:OCCUPIES],"(:Position {name: Department Manager,description: Directs and oversees department operations to achieve strategic objectives. Leads cross-functional teams and manages budgets to optimize resource utilization.,id: 6})"
"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 1,requires_reset: true,username: admin})",[:IS_A],"(:User {password_hash: $argon2id$v=19$m=65536,t=3,p=1$uclpX8S5LhZgLBTruwFXmQ$UQZjeO+ziT58SUvHLie5SLZVI5h9jPqUM+BxXvIzlfA,id: 1,requires_reset: true,username: admin})"
